Parcela,ID,Código,Nombre_común,Nombre_científico,Familia,Ht1_(m),Hc1_(m),CAP1,CAP2_(cm),CAP3_(cm),CAP4_(cm),CAP5_(cm)
3,27,3-27,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,7,6,39,,,,
3,28,3-28,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,8,4,40,,,,
3,29,3-29,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6.5,4,37,,,,
3,30,3-30,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,43.5,,,,
3,31,3-31,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,6,0,45,,,,
3,32,3-32,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,5.5,3.5,37,,,,
3,33,3-33,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,4.5,0,37,,,,
3,34,3-34,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,7,4,47,,,,
3,35,3-35,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,4.5,3,32,,,,
3,36,3-36,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,3,0,35,,,,
3,37,3-37,Tuno blanco,Miconia caudata (Bonpl.) DC,Melastomataceae Juss.,6,4,49,,,,
3,38,3-38,Laurel,Nectandra Sp1.,Lauraceae Juss.,7,4,40,,,,
3,39,3-39,Aji de paramo,Drimys granadensis L.f.,Winteraceae R.Br. ex Lindl.,6.5,5.5,41,,,,
3,40,3-40,Amarillo,Beilschmiedia Sp.,Lauraceae Juss.,7.5,5,47,,,,
3,41,3-41,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,36,,,,
3,42,3-42,Palma boba,Cyathea caracasana (Klotzsch) Domin,Cyatheaceae Kaulf.,5,0,37,,,,
